ID,smiles,IC50,IC50_units,pIC50
BCRP_0001,S(Oc1cc2CC[C@H]3[C@@H]4CC[C@H](O)[C@]4(CC[C@@H]3c2cc1)C)(=O)(=O)[O-],14,uM,4.853871964
BCRP_0002,S(Oc1cc2OC(=O)C=C(c2cc1)C)(=O)(=O)[O-],6,uM,5.22184875
BCRP_0003,s1c2c(nc1NC)c(Cc1cccnc1)c(C)c(OS(=O)(=O)[O-])c2C,10,uM,5
BCRP_0004,S(Oc1ccc([N+](=O)[O-])cc1)(=O)(=O)[O-],53,uM,4.27572413
BCRP_0005,S(=O)(=O)([O-])CCNC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@]12C)[C@@]1([C@@H](C[C@H](OS(=O)(=O)[O-])CC1)CC3)C,37,uM,4.431798276
BCRP_0006,O(C)c1cc2[nH]c3c(C[C@@H]4N([C@H]3CC(C)C)C(=O)[C@@H](NC4=O)CCC(OC(C)(C)C)=O)c2cc1,0.227,uM,6.643974143
BCRP_0007,Clc1ccc(cc1C(=O)NCC12CC3CC(C1)CC(C2)C3)CCC[NH2+]CCCO,32,uM,4.494850022
BCRP_0008,O(C)c1cc(ccc1OC)\C=C\C(=O)c1ccc(cc1)C(=O)\C=C\c1cc(OC)c(OC)cc1,2.1,uM,5.677780705
BCRP_0009,O(C)c1ccc(OC)cc1\C=C\C(=O)c1ccc(cc1)C(=O)\C=C\c1cc(OC)ccc1OC,0.7,uM,6.15490196
BCRP_0010,O(C)c1cc(OC)c(OC)cc1\C=C\C(=O)c1ccc(cc1)C(=O)\C=C\c1cc(OC)c(OC)cc1OC,0.3,uM,6.522878745
BCRP_0011,O(C)c1cc(OC)cc(OC)c1\C=C\C(=O)c1ccc(cc1)C(=O)\C=C\c1c(OC)cc(OC)cc1OC,0.4,uM,6.397940009
BCRP_0012,O(C)c1cccc(OC)c1\C=C\C(=O)c1ccc(cc1)C(=O)\C=C\c1c(OC)cccc1OC,0.2,uM,6.698970004
BCRP_0013,O(C)c1c(OC)c(OC)ccc1\C=C\C(=O)c1ccc(cc1)C(=O)\C=C\c1ccc(OC)c(OC)c1OC,1.4,uM,5.853871964
BCRP_0014,O(C)c1c(OC)cc(cc1OC)C(=O)\C=C\c1ccc(cc1)\C=C\C(=O)c1cc(OC)c(OC)c(OC)c1,1.1,uM,5.958607315
BCRP_0015,O(C)c1cc(ccc1OC)C(=O)\C=C\c1ccc(cc1)\C=C\C(=O)c1cc(OC)c(OC)cc1,0.8,uM,6.096910013
BCRP_0016,O(C)c1cc(OC)ccc1C(=O)\C=C\c1ccc(cc1)\C=C\C(=O)c1ccc(OC)cc1OC,0.9,uM,6.045757491
BCRP_0017,O(C)c1ccc(OC)cc1C(=O)\C=C\c1ccc(cc1)\C=C\C(=O)c1cc(OC)ccc1OC,1.3,uM,5.886056648
BCRP_0018,O(C)c1cc(cc(OC)c1)C(=O)\C=C\c1ccc(cc1)\C=C\C(=O)c1cc(OC)cc(OC)c1,0.5,uM,6.301029996
BCRP_0019,O(C)c1ccccc1C(=O)\C=C\c1ccc(cc1)\C=C\C(=O)c1ccccc1OC,1.1,uM,5.958607315
BCRP_0020,O(C)c1cc(OC)cc(OC)c1C(=O)\C=C\c1ccc(cc1)\C=C\C(=O)c1c(OC)cc(OC)cc1OC,1.8,uM,5.744727495
BCRP_0021,O(C)c1cc(OC)cc(O)c1C(=O)\C=C\c1cc(OC)cc(OC)c1,0.17,uM,6.769551079
BCRP_0022,O(C)c1cc(OC)cc(O)c1C(=O)\C=C\c1cc(OC)ccc1,0.26,uM,6.585026652
BCRP_0023,O(C)c1cc(OC)cc(OC)c1\C=C\C(=O)c1c2c(n(c1)C)cccc2,0.45,uM,6.346787486
BCRP_0024,O(C)c1cccc(OC)c1\C=C\C(=O)c1c2c(n(c1)C)cccc2,0.27,uM,6.568636236
BCRP_0025,O(C)c1cc(OC)cc(OC)c1\C=C\C(=O)c1c2cc(OC)ccc2n(c1)C,0.35,uM,6.455931956
BCRP_0026,O(C)c1cc(OC)cc(O)c1C(=O)\C=C\c1c(OC)cccc1OC,0.35,uM,6.455931956
BCRP_0027,Brc1cc(cc(Br)c1OC)\C=C\NC(=O)/C(/OC)=C/c1ccc(O)cc1,33.4,uM,4.476253533
BCRP_0028,Brc1cc(ccc1OC)\C=C\NC(=O)/C(/OC)=C\c1ccc(O)cc1,16.4,uM,4.785156152
BCRP_0029,O(C)c1ccc(cc1)\C=C\NC(=O)/C(/OC)=C/c1ccc(O)cc1,23.3,uM,4.632644079
BCRP_0030,Oc1ccc(cc1)\C=C(/OC)\C(=O)N\C=C\c1ccc(O)cc1,16.7,uM,4.777283529
BCRP_0031,Brc1cc(cc(Br)c1O)\C=C\NC(=O)/C(/OC)=C/c1ccc(O)cc1,6.9,uM,5.161150909
BCRP_0032,O(C)c1cc2[nH]c3c(C[C@@H]4N([C@H]3\C=C(\C)/C)C(=O)[C@H]3N(CCC3)C4=O)c2cc1,0.79,uM,6.102372909
BCRP_0033,O1c2c(C(=O)C(O)=C1c1cc(O)c(OC)cc1)c(O)c(OC)c(OC)c2,2.2,uM,5.657577319
