approved_id,KEGGID,ChEMBLID,compound_name,smiles
approved_0001,D00005,,flavin adenine dinucleotide,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)c2cc1C
approved_0002,D00006,,pyridoxal phosphate hydrate,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
approved_0003,D00010,CHEMBL3989858,acetic aci,CC(=O)O
approved_0004,D00014,,glutathione,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O
approved_0005,D00015,,l-glutamine,NC(=O)CCC(N)C(=O)O
approved_0006,D00018,,ascorbic acid,O=C1OC(C(O)CO)C(O)=C1O
approved_0007,D00019,,l-methionine,CSCCC(N)C(=O)O
approved_0008,D00025,,sucrose,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O
approved_0009,D00026,,l-cysteine,NC(CS)C(=O)O
approved_0010,D00028,CHEMBL692,glycerol,OCC(O)CO
approved_0011,D00029,,biotin,O=C(O)CCCCC1SCC2NC(=O)NC21
approved_0012,D00031,,oxiglutatione,NC(CCC(=O)NC(CSSCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O
approved_0013,D00033,CHEMBL14060,phenol,Oc1ccccc1
approved_0014,D00034,,adenine,Nc1ncnc2nc[nH]c12
approved_0015,D00038,CHEMBL2105970,benzoic acid,O=C(O)c1ccccc1
approved_0016,D00040,,cholesterol,CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C
approved_0017,D00042,,cobamamide,CC1=C2N=C(C=C3N=C(C(C)=C4NC(C(CC(N)=O)C4(C)CCC(=O)NCC(C)OP(=O)(O)OC4C(CO)OC(n5cnc6cc(C)c(C)cc65)C4O)C4(C)N=C1C(CCC(N)=O)C4(C)CC(N)=O)C(CCC(N)=O)C3(C)C)C(CCC(N)=O)C2(C)CC(N)=O
approved_0018,D00043,CHEMBL1025,isoflurophat,CC(C)OP(=O)(F)OC(C)C
approved_0019,D00044,,maltose,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O
approved_0020,D00045,,adenosine,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O
